zip,kmtoSMM,milesToSMM,hoursDriveToSMM,city,state,latitude,longitude
56243,138.428,86.0191592,1.74111111111111,Grove City,MN,45.168724,-94.68641
56256,261.966,162.7856724,3.0175,Madison,MN,45.036047,-96.19573
56258,257.575,160.057105,2.81444444444444,Marshall,MN,44.446885,-95.77281
56262,238.132,147.9752248,2.83027777777778,Milan,MN,45.113285,-95.86913
56265,223.007,138.5765498,2.5625,Montevideo,MN,44.985313,-95.7066
56267,273.234,169.7876076,2.78027777777778,Morris,MN,45.584124,-95.9092
56270,184.424,114.6010736,1.98916666666667,Morton,MN,44.552749,-94.98994
56273,194.516,120.8722424,1.98972222222222,New London,MN,45.327429,-94.99921
56277,169.112,105.0861968,1.88388888888889,Olivia,MN,44.766441,-94.99624
56278,311.962,193.8531868,3.31138888888889,Ortonville,MN,45.335958,-96.40032
56279,219.246,136.2394644,2.23388888888889,Pennock,MN,45.200641,-95.17748
56280,279.656,173.7782384,3.1725,Porter,MN,44.633159,-96.16532
56288,161.078,100.0938692,2.01055555555556,Spicer,MN,45.238936,-94.95001
56291,270.345,167.992383,3.04305555555556,Taunton,MN,44.598116,-96.06801
56293,221.2,137.45368,2.41444444444444,Wabasso,MN,44.403815,-95.25784
56301,125.287,77.8533418,1.24916666666667,Saint Cloud,MN,45.526066,-94.20649
56303,125.374,77.9074036,1.35055555555556,Saint Cloud,MN,45.568516,-94.19251
56304,113.639,70.6152746,1.2475,Saint Cloud,MN,45.547283,-94.11303
56307,158.136,98.2657104,1.51666666666667,Albany,MN,45.632455,-94.58257
56308,230.613,143.3029182,2.18694444444444,Alexandria,MN,45.88645,-95.38287
56310,149.508,92.9042712,1.48583333333333,Avon,MN,45.624705,-94.44973
56314,168.971,104.9985794,1.75416666666667,Bowlus,MN,45.814436,-94.42539
